card_name,set_name,card_number,rarity,raw_price,psa10_chance,expected_profit,roi_pct
RAIHAN (FULL ART),SWSH07: EVOLVING SKIES,202/203,ULTRA RARE,7.03,0.58,,33
FIRE ENERGY (SECRET),SWSH08: FUSION STRIKE,284/264,SECRET RARE,6.01,0.43,,33
STORMY MOUNTAINS (SECRET),SWSH07: EVOLVING SKIES,232/203,SECRET RARE,3.9,0.54,,33
FURISODE GIRL (SECRET),SWSH12: SILVER TEMPEST,205/195,SECRET RARE,6.3,0.4,,33
LUMINOUS ENERGY,SV06: TWILIGHT MASQUERADE,226/167,HYPER RARE,5.45,0.38,,34
RABSCA - 215/193,SV02: PALDEA EVOLVED,215/193,ILLUSTRATION RARE,6.07,0.23,,34
IRON BOULDER EX - 217/162,SV05: TEMPORAL FORCES,217/162,HYPER RARE,8.67,0.5,,34
GRAVITY MOUNTAIN - 250/191,SV08: SURGING SPARKS,250/191,HYPER RARE,10.88,0.34,,34
CHIEN-PAO EX - 236/193,SV02: PALDEA EVOLVED,236/193,ULTRA RARE,2.86,0.55,,34
SANDYGAST - 214/193,SV02: PALDEA EVOLVED,214/193,ILLUSTRATION RARE,9.5,0.23,,34
GRASS ENERGY (SECRET),SWSH08: FUSION STRIKE,283/264,SECRET RARE,11.58,0.41,,35
DARKNESS ENERGY (SECRET),SWSH07: EVOLVING SKIES,236/203,SECRET RARE,37.52,0.48,,35
CHI-YU EX - 259/193,SV02: PALDEA EVOLVED,259/193,SPECIAL ILLUSTRATION RARE,48.97,0.15,,35
FANTINA (SECRET),SWSH11: LOST ORIGIN,206/196,SECRET RARE,4.03,0.47,,35
WIMPOD - 191/182,SV04: PARADOX RIFT,191/182,ILLUSTRATION RARE,10.47,0.35,,35
GOTHORITA - 213/193,SV02: PALDEA EVOLVED,213/193,ILLUSTRATION RARE,11.81,0.21,,36
WALLACE (FULL ART),SWSH12: SILVER TEMPEST,194/195,ULTRA RARE,5.16,0.6,,36
GALARIAN DARMANITAN VMAX (SECRET),SWSH04: VIVID VOLTAGE,187/185,SECRET RARE,8.33,0.55,,36
SCHOOLGIRL (SECRET),SWSH08: FUSION STRIKE,277/264,SECRET RARE,4.12,0.42,,36
MISS FORTUNE SISTERS (FULL ART),SWSH11: LOST ORIGIN,194/196,ULTRA RARE,3.36,0.49,,37
FLETCHINDER - 199/193,SV02: PALDEA EVOLVED,199/193,ILLUSTRATION RARE,16.91,0.22,,37
BRANDON (SECRET),SWSH12: SILVER TEMPEST,203/195,SECRET RARE,6.72,0.48,,38
AREZU (SECRET),SWSH11: LOST ORIGIN,204/196,SECRET RARE,4.84,0.43,,38
TEAL MASK OGERPON EX - 190/167,SV06: TWILIGHT MASQUERADE,190/167,ULTRA RARE,8.01,0.47,,38
SUPERIOR ENERGY RETRIEVAL - 277/193,SV02: PALDEA EVOLVED,277/193,HYPER RARE,2.69,0.44,,39
ROTOM V (FULL ART),SWSH11: LOST ORIGIN,176/196,ULTRA RARE,2.13,0.45,,39
JOLTIK - 196/182,SV04: PARADOX RIFT,196/182,ILLUSTRATION RARE,24.81,0.36,,39
ENERGY RETRIEVAL,XY - ANCIENT ORIGINS,99/98,SECRET RARE,21.46,0.16,,40
DRAYTON - 244/191,SV08: SURGING SPARKS,244/191,SPECIAL ILLUSTRATION RARE,8,0.32,,40
PROFESSOR TURO'S SCENARIO - 257/182,SV04: PARADOX RIFT,257/182,SPECIAL ILLUSTRATION RARE,5.73,0.42,,40
ROARING MOON EX,SV04: PARADOX RIFT,124/182,DOUBLE RARE,1.11,0.53,,41
ORANGURU (SECRET),SWSH04: VIVID VOLTAGE,199/185,SECRET RARE,4.96,0.31,,41
PROFESSOR TURO'S SCENARIO - 240/182,SV04: PARADOX RIFT,240/182,ULTRA RARE,2.43,0.43,,41
ARCHALUDON EX - 224/191,SV08: SURGING SPARKS,224/191,ULTRA RARE,1.24,0.41,,41
BLOODMOON URSALUNA (MASTER BALL PATTERN),SV: PRISMATIC EVOLUTIONS,054/131,RARE,9.81,0.34,,41
REVERSAL ENERGY - 266/182,SV04: PARADOX RIFT,266/182,HYPER RARE,2.96,0.44,,41
LOST VACUUM (SECRET),SWSH11: LOST ORIGIN,217/196,SECRET RARE,2.04,0.42,,41
BATTLE REPORTER (109 FULL ART),XY - FURIOUS FISTS,109/111,ULTRA RARE,14.28,0.07,,42
LADY (SECRET),SWSH11: LOST ORIGIN,208/196,SECRET RARE,5.16,0.46,,42
M GARDEVOIR EX,XY - PRIMAL CLASH,106/160,ULTRA RARE,24.26,0.06,,43
COLLAPSED STADIUM (SECRET),SWSH11: LOST ORIGIN,215/196,SECRET RARE,2.34,0.42,,43
ULTRA BALL (SECRET),SWSH09: BRILLIANT STARS,186/172,SECRET RARE,21.68,0.4,,43
UMBREON (MASTER BALL PATTERN),SV: PRISMATIC EVOLUTIONS,059/131,RARE,77,0.24,,43
BRANDON (FULL ART),SWSH12: SILVER TEMPEST,188/195,ULTRA RARE,3.7,0.39,,44
CAPTURE ENERGY (SECRET),SWSH03: DARKNESS ABLAZE,201/189,SECRET RARE,3.05,0.61,,44
RAGING BOLT EX - 123/162,SV05: TEMPORAL FORCES,123/162,DOUBLE RARE,1.86,0.5,,45
WALLACE (SECRET),SWSH12: SILVER TEMPEST,208/195,SECRET RARE,4.16,0.4,,45
LEON (SECRET),SWSH04: VIVID VOLTAGE,195/185,SECRET RARE,5.77,0.39,,45
BASIC FIRE ENERGY - 230/197,SV03: OBSIDIAN FLAMES,230/197,HYPER RARE,4.41,0.25,,46
COUNTER GAIN - 249/191,SV08: SURGING SPARKS,249/191,HYPER RARE,3.79,0.34,,46
ENERGY SWITCH (SECRET),SWSH12: SILVER TEMPEST,212/195,SECRET RARE,9.15,0.62,,47
DRAGAPULT EX - 130/167,SV06: TWILIGHT MASQUERADE,130/167,DOUBLE RARE,1.88,0.62,,47
BEAUTY (SECRET),SWSH04: VIVID VOLTAGE,194/185,SECRET RARE,5.96,0.36,,47
GULPIN,GENERATIONS: RADIANT COLLECTION,RC12/RC32,COMMON,7.28,0.13,,49
CIPHERMANIAC'S CODEBREAKING - 198/162,SV05: TEMPORAL FORCES,198/162,ULTRA RARE,7.82,0.41,,50
METAL ENERGY (SECRET),SWSH07: EVOLVING SKIES,237/203,SECRET RARE,12.38,0.52,,51
BOSS'S ORDERS,SWSH11: LOST ORIGIN TRAINER GALLERY,TG24/TG30,ULTRA RARE,10.69,0.52,,52
CRISPIN - 171/131,SV: PRISMATIC EVOLUTIONS,171/131,SPECIAL ILLUSTRATION RARE,47.81,0.31,,52
OPAL (SECRET),SWSH04: VIVID VOLTAGE,197/185,SECRET RARE,4.43,0.4,,53
ALLISTER (SECRET),SWSH04: VIVID VOLTAGE,192/185,SECRET RARE,5.61,0.36,,54
HO-OH EX,XY - BREAKPOINT,92/122,ULTRA RARE,4.8,0.08,,54
THORTON (SECRET),SWSH11: LOST ORIGIN,210/196,SECRET RARE,2.82,0.43,,54
BOSS'S ORDERS - 265/193,SV02: PALDEA EVOLVED,265/193,SPECIAL ILLUSTRATION RARE,20.3,0.39,,55
THORTON (FULL ART),SWSH11: LOST ORIGIN,195/196,ULTRA RARE,1.28,0.43,,55
BOSS'S ORDERS - 248/193,SV02: PALDEA EVOLVED,248/193,ULTRA RARE,12.36,0.45,,55
LYSANDRE'S TRUMP CARD (118 FULL ART),XY - PHANTOM FORCES,118/119,ULTRA RARE,16.12,0.08,,56
NIGHT STRETCHER - 251/191,SV08: SURGING SPARKS,251/191,HYPER RARE,10.69,0.36,,56
JET ENERGY,SV08: SURGING SPARKS,252/191,HYPER RARE,5.72,0.37,,56
IRON HANDS EX - 070/182,SV04: PARADOX RIFT,070/182,DOUBLE RARE,1.34,0.47,,57
DARK PATCH (SECRET),SWSH11: LOST ORIGIN,216/196,SECRET RARE,2.85,0.42,,58
PRECIOUS TROLLEY,SV08: SURGING SPARKS,185/191,ACE SPEC RARE,2.3,0.36,,60
SEISMITOAD EX,XY - FURIOUS FISTS,20/111,ULTRA RARE,5.02,0.13,,61
ENHANCED HAMMER - 224/167,SV06: TWILIGHT MASQUERADE,224/167,HYPER RARE,5.84,0.32,,61
PIDGEOT EX,SV03: OBSIDIAN FLAMES,164/197,DOUBLE RARE,2.08,0.32,,63
SECRET BOX,SV06: TWILIGHT MASQUERADE,163/167,ACE SPEC RARE,8.66,0.59,,71
HERO'S CAPE,SV05: TEMPORAL FORCES,152/162,ACE SPEC RARE,27.65,0.46,,73
